"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-06-30,61639,"10025","NY","New York","New York","New York",0,1247000,0.0405540720961282,0.10168742821804,0.153774981495189,0.0979062776259203,0.0562702600492855,"2017-06","2017-Q2",1247000,0,"2017-06"
2017-06-30,84654,"60657","IL","Chicago","Cook","Chicago",1,329100,0.00396583282489323,0.0163681284743669,0.0365354330708661,0.0459416549104419,0.00233914276278924,"2017-06","2017-Q2",329100,0,"2017-06"
2017-06-30,84616,"60614","IL","Chicago","Cook","Chicago",2,415500,0.0223917322834646,0.0033808258874668,0.0351270553064275,0.0518514562343368,0.00576211358768486,"2017-02","2017-Q1",418400,-0.00693116634799235,"2016-12"
2017-06-30,93144,"79936","TX","El Paso","El Paso","El Paso",3,114700,-0.000871080139372822,0,0.0195555555555556,0.000349101149834441,-0.0124433755464555,"2007-12","2007-Q4",131100,-0.12509534706331,"2006-08"
2017-06-30,84640,"60640","IL","Chicago","Cook","Chicago",4,206700,0.00242483026188167,0,0.0465822784810127,0.0464762478558167,-0.0137523617964109,"2007-02","2007-Q1",237800,-0.130782169890664,"2003-06"
2017-06-30,91733,"77084","TX","Houston","Harris","Houston",5,158200,0.00957243139757498,0.0306188925081433,0.0121561100447857,0.078339088614104,0.0204562655020915,"2016-08","2016-Q3",161200,-0.0186104218362283,"2016-07"
2017-06-30,97564,"94109","CA","San Francisco","San Francisco","San Francisco",6,1147900,0.00288310326751704,0.014135524339606,0.0393879029337197,0.0946333063720901,0.034400060357775,"2016-02","2016-Q1",1155700,-0.00674915635545557,"2016-02"
2017-06-30,90668,"75070","TX","Dallas-Fort Worth","Collin","McKinney",7,315300,0.00382043935052531,0.0177533892834087,0.0786862812179268,0.0985187379728927,0.0442465902282265,"2017-06","2017-Q2",315300,0,"2017-06"
2017-06-30,62037,"11226","NY","New York","Kings","New York",8,658700,0.00795715378729916,0.0473843218317698,0.184499190793023,0.121060226428817,0.0438381413421591,"2017-06","2017-Q2",658700,0,"2017-06"
2017-06-30,91940,"77449","TX","Houston","Harris","Cypress",9,161000,0.0100376411543287,0.0373711340206186,0.0274409700063816,0.0851466141415793,0.0195962633802813,"2016-11","2016-Q4",162600,-0.00984009840098401,"2016-10"
2017-06-30,61630,"10016","NY","New York","New York","New York",10,1061200,0.0391696043869957,0.091544949598848,0.193835077061537,0.0909529947064458,0.0433980851850169,"2017-06","2017-Q2",1061200,0,"2017-06"
2017-06-30,71831,"32162","FL","The Villages","Sumter","The Villages",11,247900,-0.00120870265914585,0.00121163166397415,0.00854353132628153,0.0423181380203337,0.0000807135117433244,"2007-01","2007-Q1",253800,-0.0232466509062254,"2006-09"
2017-06-30,84646,"60647","IL","Chicago","Cook","Chicago",12,335400,0.00329045767274903,0.00902527075812274,0.0756895445798589,0.0852494498539553,0.00928206926525288,"2017-06","2017-Q2",335400,0,"2017-06"
2017-06-30,74242,"37211","TN","Nashville","Davidson","Nashville",13,226800,0.00844819919964429,0.0360895386021014,0.143721633888048,0.109661789415301,0.0429072298727682,"2017-06","2017-Q2",226800,0,"2017-06"
2017-06-30,96107,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Hawthorne",14,577000,0.00417681865645667,0.0154875043998592,0.0911497730711044,0.103391025663789,,"2017-06","2017-Q2",577000,0,"2017-06"
2017-06-30,74101,"37013","TN","Nashville","Davidson","Nashville",15,186600,0.0108342361863489,0.0378197997775306,0.130909090909091,0.0820471853231393,0.0228945644472043,"2017-06","2017-Q2",186600,0,"2017-06"
2017-06-30,84620,"60618","IL","Chicago","Cook","Chicago",16,334600,0.00179640718562874,-0.00149209191286183,0.0323974082073434,0.0658025759054017,-0.00366099558614741,"2007-02","2007-Q1",351100,-0.0469951580746226,"2006-01"
2017-06-30,61703,"10128","NY","New York","New York","New York",17,1318300,0.0233659369663096,0.108001344763826,0.294100323942279,0.10439559671007,0.0476956066678438,"2017-06","2017-Q2",1318300,0,"2017-06"
2017-06-30,69816,"28269","NC","Charlotte","Mecklenburg","Charlotte",18,178800,0.00846023688663283,0.0205479452054795,0.0856102003642987,0.0581214647541777,0.0115513167325021,"2017-06","2017-Q2",178800,0,"2017-06"
2017-06-30,71067,"30349","GA","Atlanta","Clayton","Riverdale",19,114800,0.00967458223394899,-0.00777873811581677,0.154929577464789,0.12715205135812,-0.0190170124404383,"2006-04","2006-Q2",142300,-0.193253689388616,"2001-05"
2017-06-30,93123,"79912","TX","El Paso","El Paso","El Paso",20,169800,0.00176991150442478,0,0.0089126559714795,-0.00498922683373404,-0.0096552814842551,"2007-12","2007-Q4",189700,-0.104902477596205,"2006-06"
2017-06-30,96027,"90046","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",21,1317200,0.00114007752527172,0.0161228110776826,0.0720273459754212,0.111652871214593,0.0250991200970703,"2017-06","2017-Q2",1317200,0,"2017-06"
2017-06-30,97771,"94565","CA","San Francisco","Contra Costa","Pittsburg",22,385900,0.00416341399947957,0.0152591423309655,0.0991170606664768,0.178995844869282,-0.0138823136957652,"2006-08","2006-Q3",468000,-0.17542735042735,"2004-12"
2017-06-30,61802,"10462","NY","New York","Bronx","New York",23,135400,0.0265352539802881,0.0729001584786054,0.21326164874552,0.0665713937417847,,"2017-06","2017-Q2",135400,0,"2017-06"
2017-06-30,61796,"10456","NY","New York","Bronx","New York",24,341300,0.00323339212228101,0.0188059701492537,0.101323007421749,0.0427079061293627,,"2017-06","2017-Q2",341300,0,"2017-06"
2017-06-30,84615,"60613","IL","Chicago","Cook","Chicago",25,207200,0.00631374453618261,0.0146914789422135,0.0412060301507538,0.0329439811430265,-0.0138458665642847,"2007-12","2007-Q4",241400,-0.141673570836785,"2002-04"
2017-06-30,66133,"20009","DC","Washington","District of Columbia","Washington",26,564000,-0.00070871722182849,-0.0120861797162375,0.0528280754153444,0.0504323855957052,0.0239580178132577,"2017-03","2017-Q1",570900,-0.0120861797162375,"2017-02"
2017-06-30,66126,"20002","DC","Washington","District of Columbia","Washington",27,611500,-0.000980231988237216,-0.0116373040245676,0.04637234770705,0.100634622808716,,"2017-03","2017-Q1",618700,-0.0116373040245676,"2017-02"
2017-06-30,66843,"21234","MD","Baltimore","Baltimore","Parkville",28,203400,-0.00147275405007364,-0.0034296913277805,0.0231388329979879,0.0246308960119415,-0.0103054349438588,"2007-07","2007-Q3",225800,-0.0992028343666962,"2005-12"
2017-06-30,86026,"63376","MO","St. Louis","Saint Charles","Saint Peters",29,187700,-0.0177917320774464,-0.0198433420365535,0.0480178671133445,0.0436455226123615,0.00353057283991687,"2017-04","2017-Q2",192600,-0.0254413291796469,"2017-02"
2017-06-30,91685,"77036","TX","Houston","Harris","Houston",30,107800,0.0112570356472795,0.0812437311935808,-0.0270758122743682,0.0799024841122788,0.0232076863119974,"2016-08","2016-Q3",117300,-0.0809889173060529,"2016-06"
