CAD CDW ID,CAD Event Number,General Offense Number,Event Clearance Code,Event Clearance Description,Event Clearance SubGroup,Event Clearance Group,Event Clearance Date,Hundred Block Location,District/Sector,Zone/Beat,Census Tract,Longitude,Latitude,Incident Location,Initial Type Description,Initial Type Subgroup,Initial Type Group,At Scene Time
834718,12000201585,2012201585,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,06/26/2012 07:53:00 PM,5XX BLOCK OF ELLIOTT AVE W,Q,Q3,7100.1002,-122.365123526,47.624145796,"(47.624145796, -122.365123526)",,,,
1849320,16000362101,2016362101,220,CRISIS COMPLAINT - GENERAL,CRISIS CALL,BEHAVIORAL HEALTH,10/06/2016 06:19:40 AM,20XX BLOCK OF WESTLAKE AV,D,D2,7200.1060,-122.33821,47.61579,"(47.61579, -122.33821)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,
1248417,11000041832,201141832,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,02/04/2011 02:15:00 PM,4XX BLOCK OF 2ND AV ET S,K,K3,9200.2004,-122.331392648,47.601072821,"(47.601072821, -122.331392648)",,,,
2217809,14000404937,2014404937,186,"NARCOTICS, DRUG TRAFFIC LOITERING",NARCOTICS COMPLAINTS,NARCOTICS COMPLAINTS,12/06/2014 04:23:00 PM,3XX BLOCK OF 10 AV S,E,E3,9100.1002,-122.319636369,47.599453442,"(47.599453442, -122.319636369)","NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",NARCOTICS COMPLAINTS,NARCOTICS COMPLAINTS,12/06/2014 04:20:00 PM
938643,12000361513,2012361513,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,10/22/2012 01:20:00 AM,3XX BLOCK OF 2ND AV ET S,K,K2,9200.2021,-122.3308075,47.60046424,"(47.60046424, -122.3308075)",,,,
970396,12000401863,2012401863,350,HAZARDS,HAZARDS,HAZARDS,11/24/2012 12:31:00 PM,8 AV / SENECA ST,D,D3,8200.3004,-122.329778034,47.609371559,"(47.609371559, -122.329778034)",,,,
1817641,16000307888,2016307888,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,08/25/2016 08:31:48 PM,2 AV ET S / YESLER WY,K,K2,8100.2043,-122.331985,47.601715,"(47.601715, -122.331985)","FRAUD - FORGERY,BUNCO, SCAMS, ID THEFT, ETC",FRAUD CALLS,FRAUD CALLS,
1895215,16000444532,2016444532,064,SHOPLIFT,THEFT,SHOPLIFTING,12/11/2016 06:55:21 AM,73XX BLOCK OF ROOSEVELT WY NE,U,U1,2600.2018,-122.31747,47.681892,"(47.681892, -122.31747)",SHOPLIFT - THEFT,SHOPLIFTING,THEFT,12/11/2016 05:12:35 AM
1557769,15000331434,2015331434,242,FIGHT DISTURBANCE,DISTURBANCES,DISTURBANCES,09/21/2015 07:15:00 PM,105XX BLOCK OF 5 AV NE,L,L2,1200.3003,-122.323187621,47.705577354,"(47.705577354, -122.323187621)",FIGHT - IP - PHYSICAL (NO WEAPONS),DISTURBANCES,DISTURBANCES,09/21/2015 06:22:00 PM
1312098,13000048217,201348217,201,ALARMS - RESIDENTIAL BURGLARY (FALSE),BURGLARY ALARMS (FALSE),FALSE ALARMS,02/11/2013 01:21:00 PM,20XX BLOCK OF 42ND AVE E,C,C3,6300.1006,-122.278439785,47.638033312,"(47.638033312, -122.278439785)",,,,
1313634,13000050056,201350056,220,MENTAL COMPLAINT,MENTAL CALL,MENTAL HEALTH,02/12/2013 11:48:00 PM,5XX BLOCK OF 3RD AVE,K,K2,8100.2035,-122.331082201,47.602412413,"(47.602412413, -122.331082201)",,,,
1655366,16000023288,201623288,065,THEFT - MISCELLANEOUS,THEFT,OTHER PROPERTY,01/20/2016 08:07:47 PM,5XX BLOCK OF DENNY WY,Q,Q3,7200.1074,-122.34584,47.618565,"(47.618565, -122.34584)",SHOPLIFT - THEFT,SHOPLIFTING,THEFT,01/20/2016 02:53:09 PM
693296,11000405290,2011405290,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,12/18/2011 10:55:00 PM,77XX BLOCK OF RAINIER AVE S,S,S2,11102.3003,-122.269986899,47.53314343,"(47.53314343, -122.269986899)",,,,
930548,12000351552,2012351552,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,10/13/2012 11:13:00 PM,20XX BLOCK OF WESTERN AVE,M,M3,8002.1005,-122.344123277,47.610790348,"(47.610790348, -122.344123277)",,,,
1587646,15000368569,2015368569,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,10/21/2015 02:13:00 PM,41XX BLOCK OF 12 AV NE,U,U2,5301.4002,-122.315539251,47.657602324,"(47.657602324, -122.315539251)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,10/21/2015 12:52:00 PM
44834,10000288686,2010288686,410,ABANDONED VEHICLE,PARKING VIOLATIONS,TRAFFIC RELATED CALLS,08/18/2010 06:20:00 PM,8XX BLOCK OF W NICKERSON ST,Q,Q2,5900.1009,-122.368725724,47.653065171,"(47.653065171, -122.368725724)",,,,
603410,11000174808,2011174808,430,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,ACCIDENT INVESTIGATION,06/01/2011 07:11:00 PM,GREENWOOD AV N / N 105 ST,N,N2,1400.2007,-122.355454667,47.705081262,"(47.705081262, -122.355454667)",,,,
